title,overview,genres,poster_path,vote_average
Descendants 3,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,"Family, TV Movie, Adventure, Fantasy, Music",/7IRy0iHdaS0JI3ng4ZYlk5gLSFn.jpg,7.677
Taxi,"A man in his mid 50s becomes a Taxi driver to help pay for something, will he manage to?","Drama, Family, Adventure",/zUjk2mOBHfVba4SJEV6SjRbIDB4.jpg,0.0
Young Sister-In-Law,"Three men and women start living together. Byeong-soo is chosen in a scenario contest and is picked to write a script for a movie, so he leaves the noisy city and moves in with his married senior from school. At the house is Ji-eun, the senior's wife and a young and sexy Bo-yeong.  The three living together leads to some risky situations!",Romance,/jAGlDPyNfLvGMXI3Gt9E4SrRtHg.jpg,6.0
Sultana,"Sultana is a drama set in Istanbul's one and only strip club, telling a story of a women, power, rivalry and solidarity. A new Turkish story where women are not victims in a fairy tale, but warriors learning that the 'handsome prince' is often the real monster- and their only salvation is each other. Meral the long reigning queen of the one and only strip club of Istanbul which is Sultana, takes a talented new Belarusian dancer named Anna under her wing. But she soon realizes she has created a rival powerful enough to replace her, and a ruthless power struggle erupts between the two women.","Drama, Music",/v7eW9Rpnb2etRvjN7P7gNzHhfxV.jpg,0.0
Nerida,,Drama,/dEsedCMg1tUp6OXgzgq5ARPS84U.jpg,10.0
The Adventures of Tintin,"Intrepid young reporter, Tintin, and his loyal dog, Snowy, are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson and Thomson, travel half the world, one step ahead of their enemies, as Tintin endeavors to find the Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.","Adventure, Animation, Mystery",/fQZ3sLR1Fi63NMsNRbjm9q5qODJ.jpg,6.926
The Contractor,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.","Action, Thriller",/rJPGPZ5soaG27MK90oKpioSiJE2.jpg,6.351
Per Aspera Ad Astra,"Set in the near future, the story revolves around the emergence of the virtual dream reality technology ""Good Dreams"",  which allows people to do whatever they desire within their self-created dreams. However, a crisis triggered by these dreams quietly unfolds.","Drama, Science Fiction, Adventure",/cuNGOSr0oSuBm0uAa28516Iw3Bw.jpg,7.919
Staff Only,Kaylee works a boring job at a fast food joint but everything changes when she comes across a strange place inhabited by even stranger residents.,"Animation, Horror, Comedy",/5RDJmycEsmvmwIv3SM9DvKqVr0W.jpg,0.0
Babes,"After getting pregnant from a one-night stand, a single woman leans on her married best friend and mother of two to guide her through gestation and beyond.",Comedy,/1Cg4G1iQpisGXmWqns5uo4I6fPk.jpg,5.9
Unknown,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.","Action, Mystery, Thriller",/aXBQD515okXQZmYA89ntXMvSJSd.jpg,6.688
Sixteen Candles,"With the occasion all but overshadowed by her sister's upcoming wedding, angst-ridden Samantha faces her 16th birthday with typical adolescent dread. Samantha pines for studly older boy Jake, but worries that her chastity will be a turnoff for the popular senior. Meanwhile, she must constantly rebuff the affections of nerdy Ted, who is unfortunately the only boy in school who seems to take an interest in her.","Comedy, Romance",/A3WGCAgJF33kZdlxUdyXHYdbYax.jpg,6.757
Dirty Pilgrimage to the West: Broken Volume,"With Sun Wukong, Zhu Bajie, and Sha Wujing, the monk Tripitaka continues his journey in search of the scriptures. King Golden Horn and King Silver Horn are waiting for Tripitaka's body and Goku's semen. Goku is lured into a mysterious sensual trap, and Tripitaka is kidnapped and falls into the hands of King Golden Horn.. Part 2 of a trilogy.",,/iOPhBzFXXUfU0AZDBWIFuoM3cXY.jpg,6.0
The Sting,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,"Comedy, Crime, Drama",/ckmYng37zey8INYf6d10cVgIG93.jpg,8.0
Valores Familiares,"Jimena admires the perfection of her parents marriage. However, an unexpected gesture from her mother awakens a doubt in her that begins to unsettle the idealized image she has always had of her family. Jimena confronts the hidden side of morality and comes to understand that nothing is as it seems.",Drama,/hIKgQgxWcVz74n9AhjzltQB0t4L.jpg,0.0
Midway,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.","War, History, Drama",/hj8pyoNnynGeJTAbl7jcLZO8Uhx.jpg,7.1
That's My Boy,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",Comedy,/oaLhdRsZ5Mq8VfZtA4Wlvjzzn0X.jpg,5.802
Projecto Global,"Lisbon, 1980s, Rosa, a woman joins a group of young people disappointed at the post-Revolutionary Portugal. Part of a far-left clandestine armed organization, they share political views and a daily life that makes them grow closer. But their idealism collides head-on with a changing country and a large-scale police operation targeting them. Fleeing on a road with no return and no way forward, their existence is made up of bank robberies, bombs, friendships, prison, love and death. Trapped, their only choice is to keep on the run until they get arrested or killed.","Drama, History",/rkcLQHSnCJDXmmBrgMosiyM53ZI.jpg,5.0
Ambulance Call,"""Stable door opens and ambulance dashes out into the street. Policeman holds back a furniture van till ambulance passes by.""",,/3Cl7YT40F1CMD88Q53yLKRhJYCb.jpg,10.0
Alaska,"Seraphim journeys to Alaska, the most beautiful place in this child's mind's eye.",Adventure,/nCxLIk6wg4AaOOLNnEHDNU4AAIH.jpg,0.0
Step Mother is Nineteen,,"Drama, Romance",/wjHQOmstLZKF0urCZRwn2xunmsn.jpg,0.0
The Unscarred,Four exchange students meet in Berlin 20 years after graduating but picking up where they left off doesn't turn out to be as easy as they had hoped.,Thriller,/tgBRIucjHxtLUXO7HJiK54SteUb.jpg,5.8
